id_estacionamento;cpf_motorista;id_vaga;placa;entrada;saida;valor_estacionamento
32;574.746.905-35;14;BHI-3F56;27/02/2022 11:40;27/02/2022 13:55;15.00
33;938.014.315-09;11;CCI-5260;27/02/2022 09:15;27/02/2022 12:00;15.00
34;629.680.888-74;7;FBD-1173;27/02/2022 11:05;27/02/2022 15:20;10.00
35;981.894.943-92;3;FBE-7782;27/02/2022 10:59;27/02/2022 14:14;8.75
36;288.667.376-58;10;FLL-2392;27/02/2022 10:58;27/02/2022 15:13;20.00
37;395.005.819-22;15;LDD-1002;27/02/2022 09:14;27/02/2022 12:29;17.50
38;286.150.469-21;9;KLA-7A63;27/02/2022 09:09;27/02/2022 12:54;17.50
39;763.952.560-84;21;ILC-2428;27/02/2022 11:30;27/02/2022 14:30;17.50
40;597.955.221-91;14;CCI-5260;27/02/2022 12:19;27/02/2022 14:19;15.00
41;891.575.889-70;9;EEL-8147;27/02/2022 12:58;27/02/2022 15:43;15.00
42;857.950.358-23;18;EKA-3455;28/02/2022 12:07;28/02/2022 15:22;17.50
43;981.894.943-92;3;FBE-7782;28/02/2022 09:19;28/02/2022 12:04;7.50
44;570.776.506-93;16;JCF-7153;28/02/2022 12:43;28/02/2022 15:28;15.00
45;570.776.506-93;14;JCF-7153;28/02/2022 11:15;28/02/2022 15:30;20.00
46;694.235.242-06;13;HCA-6132;28/02/2022 09:52;28/02/2022 13:22;17.50
47;191.921.293-07;21;KFA-3C03;28/02/2022 08:22;28/02/2022 09:37;12.50
48;857.950.358-23;17;EKA-3455;28/02/2022 11:25;28/02/2022 14:55;17.50
49;763.952.560-84;17;ILC-2428;28/02/2022 10:35;28/02/2022 12:20;12.50
50;842.022.641-69;21;ELF-7B90;28/02/2022 12:33;28/02/2022 13:48;12.50
51;286.150.469-21;20;KLA-7A63;28/02/2022 10:04;28/02/2022 11:49;12.50
52;395.005.819-22;14;LDD-1002;28/02/2022 08:38;28/02/2022 12:38;20.00
53;645.329.387-08;16;BHI-3F56;28/02/2022 10:16;28/02/2022 13:16;17.50
54;409.163.286-60;7;FBE-7782;01/03/2022 10:56;01/03/2022 13:11;7.50
55;037.679.092-00;12;KBK-5248;01/03/2022 12:18;01/03/2022 14:03;12.50
56;900.206.435-78;11;IJA-7733;01/03/2022 10:32;01/03/2022 14:02;17.50
57;787.327.017-30;13;LAE-4407;01/03/2022 11:51;01/03/2022 14:36;15.00
58;330.594.014-03;21;BKB-3810;01/03/2022 11:37;01/03/2022 16:07;20.00
59;763.952.560-84;21;ILC-2428;01/03/2022 10:58;01/03/2022 13:58;17.50
60;938.014.315-09;14;CCI-5260;01/03/2022 08:39;01/03/2022 12:24;17.50
61;981.894.943-92;7;FBE-7782;01/03/2022 08:30;01/03/2022 13:00;10.00
62;574.746.905-35;13;BHI-3F56;01/03/2022 11:33;01/03/2022 15:03;17.50
63;981.894.943-92;7;FBE-7782;01/03/2022 09:47;01/03/2022 12:02;7.50
64;158.660.877-07;7;ACH-6A95;01/03/2022 08:07;01/03/2022 12:37;10.00
65;597.955.221-91;16;CCI-5260;01/03/2022 11:56;01/03/2022 14:56;17.50
66;485.522.339-59;21;LIB-7295;01/03/2022 08:52;01/03/2022 10:52;15.00
67;597.955.221-91;10;CCI-5260;01/03/2022 11:11;01/03/2022 13:11;15.00
68;891.575.889-70;18;EEL-8147;01/03/2022 11:03;01/03/2022 13:33;15.00
69;597.955.221-91;14;CCI-5260;01/03/2022 09:01;01/03/2022 10:16;12.50
70;286.150.469-21;20;KLA-7A63;01/03/2022 08:26;01/03/2022 11:41;17.50
71;618.874.220-05;16;BFC-3C01;01/03/2022 10:34;01/03/2022 12:19;12.50
72;860.466.368-17;15;LLL-6246;02/03/2022 11:46;02/03/2022 13:46;15.00
73;191.921.293-07;13;KFA-3C03;02/03/2022 09:38;02/03/2022 13:53;20.00
74;763.952.560-84;19;ILC-2428;02/03/2022 10:33;02/03/2022 15:03;20.00
75;311.756.371-73;11;EJI-7E35;02/03/2022 10:48;02/03/2022 12:48;15.00
76;694.235.242-06;13;HCA-6132;02/03/2022 08:09;02/03/2022 10:39;15.00
77;409.163.286-60;9;FBE-7782;02/03/2022 11:02;02/03/2022 14:17;8.75
78;570.776.506-93;12;JCF-7153;02/03/2022 08:05;02/03/2022 11:35;17.50
79;485.522.339-59;17;LIB-7295;03/03/2022 09:53;03/03/2022 11:08;12.50
80;311.756.371-73;12;EJI-7E35;03/03/2022 08:54;03/03/2022 10:24;12.50
81;395.005.819-22;15;LDD-1002;03/03/2022 12:48;03/03/2022 14:33;12.50
82;037.679.092-00;19;KBK-5248;03/03/2022 10:17;03/03/2022 11:17;12.50
83;787.327.017-30;18;LAE-4407;03/03/2022 08:12;03/03/2022 10:57;15.00
84;962.178.727-06;17;DLE-1A56;03/03/2022 11:06;03/03/2022 12:51;12.50
85;073.202.759-45;3;LEJ-4B96;03/03/2022 10:40;03/03/2022 14:55;10.00
86;857.950.358-23;19;EKA-3455;03/03/2022 10:30;03/03/2022 13:15;15.00
87;757.816.660-36;9;CAF-5415;03/03/2022 09:39;03/03/2022 10:39;6.25
88;763.952.560-84;12;ILC-2428;03/03/2022 09:58;03/03/2022 14:28;20.00
89;842.022.641-69;15;ELF-7B90;03/03/2022 11:35;03/03/2022 15:50;20.00
90;409.163.286-60;2;FBE-7782;04/03/2022 10:56;04/03/2022 15:11;10.00
91;694.235.242-06;17;HCA-6132;04/03/2022 12:09;04/03/2022 13:09;12.50
92;629.680.888-74;8;FBD-1173;04/03/2022 09:38;04/03/2022 14:08;10.00
93;694.235.242-06;20;HCA-6132;04/03/2022 11:55;04/03/2022 15:55;20.00
94;485.522.339-59;21;LIB-7295;04/03/2022 11:09;04/03/2022 12:09;12.50
95;962.178.727-06;14;DLE-1A56;04/03/2022 10:53;04/03/2022 15:23;20.00
96;763.952.560-84;20;ILC-2428;04/03/2022 10:09;04/03/2022 12:54;15.00
97;746.115.849-09;9;BLB-5D66;04/03/2022 09:50;04/03/2022 11:50;15.00
98;938.014.315-09;14;CCI-5260;04/03/2022 08:14;04/03/2022 10:14;15.00
99;300.766.852-25;11;EBI-3338;04/03/2022 10:17;04/03/2022 14:17;20.00
100;191.921.293-07;18;KFA-3C03;04/03/2022 10:08;04/03/2022 12:08;15.00
101;938.014.315-09;12;CCI-5260;04/03/2022 09:11;04/03/2022 11:26;15.00
102;395.005.819-22;18;LDD-1002;04/03/2022 08:28;04/03/2022 09:43;12.50
103;286.150.469-21;12;KLA-7A63;04/03/2022 10:04;04/03/2022 13:19;17.50
104;311.756.371-73;18;EJI-7E35;04/03/2022 12:32;04/03/2022 14:47;15.00
105;300.766.852-25;21;EBI-3338;04/03/2022 11:13;04/03/2022 13:13;15.00
106;893.076.453-37;4;FBD-1173;04/03/2022 08:25;04/03/2022 11:55;8.75
107;962.178.727-06;17;DLE-1A56;05/03/2022 08:56;05/03/2022 09:56;12.50
108;597.955.221-91;11;CCI-5260;05/03/2022 11:41;05/03/2022 13:56;15.00
109;073.202.759-45;6;LEJ-4B96;05/03/2022 10:00;05/03/2022 12:15;7.50
110;981.894.943-92;5;FBE-7782;05/03/2022 08:14;05/03/2022 09:29;6.25
111;618.874.220-05;14;BFC-3C01;05/03/2022 11:18;05/03/2022 12:48;12.50
112;857.950.358-23;12;EKA-3455;05/03/2022 12:22;05/03/2022 14:07;12.50
113;286.150.469-21;10;KLA-7A63;05/03/2022 11:55;05/03/2022 13:40;12.50
114;746.115.849-09;21;BLB-5D66;05/03/2022 12:56;05/03/2022 15:11;15.00
115;900.206.435-78;9;IJA-7733;05/03/2022 09:05;05/03/2022 13:35;20.00
116;288.667.376-58;16;FLL-2392;05/03/2022 11:15;05/03/2022 15:30;20.00
117;597.955.221-91;16;CCI-5260;05/03/2022 10:50;05/03/2022 12:05;12.50
118;330.594.014-03;13;BKB-3810;05/03/2022 12:25;05/03/2022 15:40;17.50
119;981.894.943-92;5;FBE-7782;05/03/2022 11:30;05/03/2022 13:45;7.50
120;162.262.067-48;12;LCB-7951;06/03/2022 08:14;06/03/2022 11:29;17.50
121;746.115.849-09;21;BLB-5D66;06/03/2022 08:02;06/03/2022 12:32;20.00
122;597.955.221-91;18;CCI-5260;06/03/2022 12:43;06/03/2022 13:58;12.50
123;395.005.819-22;21;LDD-1002;06/03/2022 12:16;06/03/2022 14:16;15.00
124;597.955.221-91;21;CCI-5260;06/03/2022 08:08;06/03/2022 09:23;12.50
125;900.206.435-78;15;IJA-7733;06/03/2022 11:32;06/03/2022 16:02;20.00
126;073.202.759-45;5;LEJ-4B96;06/03/2022 12:28;06/03/2022 16:43;10.00
127;757.816.660-36;8;CAF-5415;06/03/2022 10:43;06/03/2022 12:28;6.25
128;962.178.727-06;21;DLE-1A56;06/03/2022 11:26;06/03/2022 12:56;12.50
129;191.921.293-07;9;KFA-3C03;06/03/2022 08:21;06/03/2022 12:21;20.00
130;286.150.469-21;19;KLA-7A63;06/03/2022 08:32;06/03/2022 10:32;15.00
131;570.776.506-93;21;JCF-7153;06/03/2022 09:48;06/03/2022 13:03;17.50
132;597.955.221-91;18;CCI-5260;06/03/2022 12:37;06/03/2022 14:37;15.00
133;409.163.286-60;8;FBE-7782;06/03/2022 08:48;06/03/2022 12:18;8.75
134;701.815.694-77;1;CDB-6550;06/03/2022 11:44;06/03/2022 16:14;10.00
135;701.815.694-77;9;CDB-6550;06/03/2022 12:16;06/03/2022 16:31;10.00
136;570.776.506-93;18;JCF-7153;06/03/2022 09:11;06/03/2022 13:26;20.00
137;037.679.092-00;15;KBK-5248;06/03/2022 09:35;06/03/2022 12:50;17.50
138;645.329.387-08;11;BHI-3F56;07/03/2022 12:06;07/03/2022 14:51;15.00
139;962.178.727-06;15;DLE-1A56;07/03/2022 12:40;07/03/2022 15:40;17.50
140;158.660.877-07;9;ACH-6A95;07/03/2022 11:50;07/03/2022 14:20;7.50
141;694.235.242-06;17;HCA-6132;07/03/2022 10:34;07/03/2022 14:04;17.50
142;395.005.819-22;9;LDD-1002;07/03/2022 08:24;07/03/2022 09:24;12.50
143;701.815.694-77;3;CDB-6550;07/03/2022 09:22;07/03/2022 13:07;8.75
144;330.594.014-03;12;BKB-3810;07/03/2022 11:43;07/03/2022 14:58;17.50
145;286.150.469-21;17;KLA-7A63;07/03/2022 08:27;07/03/2022 12:27;20.00
146;891.575.889-70;19;EEL-8147;07/03/2022 12:19;07/03/2022 16:49;20.00
147;618.874.220-05;15;BFC-3C01;07/03/2022 08:58;07/03/2022 11:13;15.00
148;962.178.727-06;12;DLE-1A56;07/03/2022 09:24;07/03/2022 11:24;15.00
149;300.766.852-25;19;EBI-3338;07/03/2022 12:52;07/03/2022 15:37;15.00
150;645.329.387-08;21;BHI-3F56;07/03/2022 12:59;07/03/2022 14:44;12.50
151;857.950.358-23;9;EKA-3455;07/03/2022 11:54;07/03/2022 16:24;20.00
152;618.874.220-05;18;BFC-3C01;07/03/2022 09:57;07/03/2022 14:12;20.00
153;645.329.387-08;12;BHI-3F56;07/03/2022 08:36;07/03/2022 13:06;20.00
154;763.952.560-84;18;ILC-2428;07/03/2022 10:16;07/03/2022 14:16;20.00
155;701.815.694-77;6;CDB-6550;08/03/2022 10:25;08/03/2022 14:55;10.00
156;891.575.889-70;19;EEL-8147;08/03/2022 08:01;08/03/2022 11:46;17.50
157;330.594.014-03;10;BKB-3810;08/03/2022 10:21;08/03/2022 13:21;17.50
158;694.235.242-06;15;HCA-6132;08/03/2022 10:52;08/03/2022 14:52;20.00
159;629.680.888-74;3;FBD-1173;08/03/2022 11:41;08/03/2022 13:41;7.50
160;300.766.852-25;21;EBI-3338;08/03/2022 12:10;08/03/2022 16:40;20.00
161;570.776.506-93;19;JCF-7153;08/03/2022 11:42;08/03/2022 13:42;15.00
162;288.667.376-58;16;FLL-2392;08/03/2022 10:25;08/03/2022 14:55;20.00
163;763.952.560-84;14;ILC-2428;08/03/2022 10:58;08/03/2022 12:43;12.50
164;746.115.849-09;16;BLB-5D66;08/03/2022 09:02;08/03/2022 12:32;17.50
165;782.603.942-86;14;JKF-6A99;08/03/2022 11:36;08/03/2022 13:36;15.00
166;782.603.942-86;17;JKF-6A99;08/03/2022 08:06;08/03/2022 11:51;17.50
167;485.522.339-59;21;LIB-7295;08/03/2022 10:12;08/03/2022 13:12;17.50
168;618.874.220-05;14;BFC-3C01;08/03/2022 12:06;08/03/2022 16:36;20.00
